date	code	name	category	ipo_price	buy_ratio	one_hand	draw_prob	firstday_performance	now_price	total_performance
	2017/03/31	02281	興瀘水務	水務供應	2.300	5.1	4	80.1%	-1.30%	1.620	-29.57%
	2017/03/31	02017	滄海控股	建築及裝修	2.170	63.5	3	80.0%	0.00%	1.680	-22.58%
	2017/03/30	01647	SHIS LTD	建築及裝修	0.700	127.0	40	28.5%	+38.57%	0.250	-64.29%
	2017/03/28	08439	新百利融資	其他金融	2.050	1.7	2	80.7%	+0.49%	1.990	-2.93%
	2017/03/22	01569	民生教育	其他支援服務	1.380	1.1	1	100.0%	+9.42%	1.290	-6.52%
	2017/03/21	08442	樺欣控股	服裝	5.750	379.0	40	15.0%	+8.70%	5.950	+3.48%
	2017/03/16	08421	永順控股香港	其他支援服務	0.420	11.1	9	13.2%	+4.76%	0.275	-34.52%
	2017/03/16	03869	弘和仁愛醫療	醫療器械及服務	12.800	2.6	1	100.0%	+1.25%	15.000	+17.19%
	2017/03/15	08425	興銘控股	機械裝備及器材	0.750	6.7	6	45.0%	+10.67%	0.650	-13.33%
	2017/03/13	08423	CHI HO DEV	建築及裝修	0.300	0.4	1	100.0%	+1.67%	0.920	+206.67%
	2017/03/10	08013	ECI TECH	資訊科技器材	0.150	38.9	1	100.0%	0.00%	0.130	-13.33%
	2017/03/10	03395	PERSTA	石油及天然氣	3.160	1.6	1	100.0%	-2.53%	2.130	-32.59%
	2017/03/08	01985	美高域	資訊科技器材	1.460	1176.8	100	50.0%	+173.97%	1.560	+6.85%
	2017/03/01	02293	百本醫護	醫療器械及服務	N/A	N/A	N/A	N/A	-12.12%	1.680	-15.15%
	2017/02/28	06169	宇華教育	其他支援服務	2.050	0.5	1	100.0%	+1.95%	2.790	+36.10%
	2017/02/22	08188	駿傑集團控股	建築及裝修	0.540	N/A	N/A	N/A	+542.59%	0.380	-29.63%
	2017/02/20	01627	安保工程控股	建築及裝修	1.100	4.5	1	100.0%	-9.09%	0.640	-41.82%
	2017/02/16	08417	大地教育	其他支援服務	0.340	20.0	1	100.0%	-2.94%	1.390	+308.82%
	2017/02/15	08428	國茂控股	餐飲	0.250	N/A	N/A	N/A	+18.00%	0.192	-23.20%
	2017/02/15	01989	松齡護老集團	其他支援服務	0.690	795.5	375	30.0%	+33.33%	0.940	+36.23%
	2017/02/10	02266	黎氏企業	建築及裝修	1.150	186.7	5	80.0%	+51.30%	2.060	+79.13%
	2017/02/10	01660	善樂國際	建築材料	0.400	355.9	1	100.0%	-22.50%	0.225	-43.75%
	2017/02/08	03789	御佳控股	建築材料	0.560	349.0	50	30.0%	+1.79%	0.310	-44.64%
	2017/01/26	06068	睿見教育	其他支援服務	1.700	0.5	1	100.0%	-0.60%	2.790	+64.12%
	2017/01/20	08370	智昇集團控股	家具及家居用品	0.310	N/A	N/A	N/A	+706.45%	4.590	+1380.65%
	2017/01/18	01518	新世紀醫療	醫療器械及服務	7.360	0.2	1	100.0%	-0.14%	7.450	+1.22%
	2017/01/13	08349	美固科技控股	工業用品	0.350	N/A	N/A	N/A	+388.57%	2.150	+514.29%
	2017/01/13	08341	艾碩控股	建築及裝修	0.840	N/A	N/A	N/A	+280.95%	2.700	+221.43%
	2017/01/12	08069	縱橫遊控股	旅遊及觀光	0.800	861.1	100	15.0%	+13.75%	0.810	+1.25%
	2017/01/12	08415	樂嘉思控股	建築及裝修	0.255	N/A	N/A	N/A	+174.51%	0.160	-37.25%
	2017/01/12	06122	九台農商銀行	銀行	4.560	0.1	1	100.0%	+6.80%	4.900	+7.46%
	2017/01/12	01575	慕容控股	家具及家居用品	1.050	4.9	1	100.0%	+33.33%	1.650	+57.14%
	2017/01/12	01656	億仕登控股	工業用品	1.250	1891.0	500	39.8%	+10.40%	1.280	+2.40%
	2017/01/11	08432	太平洋酒吧	休閒娛樂	0.290	N/A	N/A	N/A	+1,296.55%	0.162	-44.14%
	2017/01/11	08416	HM INTL HLDGS	印刷及包裝	0.600	N/A	N/A	N/A	+516.67%	4.200	+600.00%
	2017/01/11	01536	煜榮集團	機械裝備及器材	1.150	1.1	1	100.0%	-8.70%	0.790	-31.30%
	2017/01/10	08358	卓珈控股	美容及個人護理	0.800	N/A	N/A	N/A	+393.75%	1.600	+100.00%
	2017/01/06	08221	PF GROUP	證券	0.150	N/A	N/A	N/A	+2,033.33%	0.150	0.00%
	2017/01/05	08091	奧傳思維控股	廣告	0.270	N/A	N/A	N/A	+2,937.04%	0.151	-44.07%
	2017/01/03	01637	順興集團控股	建築及裝修	1.200	798.7	125	50.0%	+70.00%	0.560	-53.33%
	2016/12/30	08343	宏光照明	資訊科技器材	0.630	N/A	N/A	N/A	+38.10%	0.870	+38.10%
	2016/12/21	01596	翼辰實業	工業用品	3.000	1.0	1	100.0%	+0.67%	4.480	+49.33%
	2016/12/19	01580	大森控股	林木業	0.700	270.3	18	10.0%	+20.00%	0.640	-8.57%
	2016/12/16	08353	安科系統	系統開發及信息科技顧問	0.740	N/A	N/A	N/A	-18.92%	0.650	-12.16%
	2016/12/16	08352	成安控股	建築及裝修	0.360	N/A	N/A	N/A	+872.22%	4.060	+1027.78%
	2016/12/15	08342	飛思達科技	系統開發及信息科技顧問	0.740	N/A	N/A	N/A	-8.11%	0.600	-18.92%
	2016/12/15	08062	俊盟國際	電子商貿及互聯網服務	0.560	1276.0	400	61.7%	+23.21%	0.215	-61.61%
	2016/12/15	01357	美圖公司	電子商貿及互聯網服務	8.500	1.4	1	100.0%	0.00%	11.320	+33.18%
	2016/12/12	08039	KNK HOLDINGS	建築及裝修	0.325	N/A	N/A	N/A	+167.69%	1.680	+416.92%
	2016/12/12	01617	南方通信	電訊及網絡器材	1.020	13.0	1	100.0%	+70.59%	1.740	+70.59%
	2016/12/09	08308	古兜控股	旅遊及觀光	0.600	N/A	N/A	N/A	+11.67%	0.920	+53.33%
	2016/12/09	06066	中信建投証券	證券	6.810	0.0	1	100.0%	0.00%	7.100	+4.26%
	2016/12/08	08411	K W NELSON GP	建築及裝修	0.200	N/A	N/A	N/A	+2,005.00%	0.135	-32.50%
	2016/12/08	01581	進昇集團控股	建築及裝修	0.600	530.0	70	40.8%	+8.33%	0.310	-48.33%
	2016/12/05	01635	大眾公用	燃氣供應	3.600	1.0	1	100.0%	0.00%	3.680	+2.22%
	2016/12/02	08278	CMON	電子商貿及互聯網服務	0.230	N/A	N/A	N/A	+1,330.44%	0.232	+0.87%
	2016/12/02	08160	GOLDWAY EDU	其他支援服務	0.205	703.3	100	20.0%	+65.85%	0.240	+17.07%
	2016/11/29	01632	膳源控股	餐飲	2.000	115.4	1	100.0%	+75.50%	10.060	+403.00%
	2016/11/25	06189	愛得威建設集團	建築及裝修	5.200	2.1	2	80.1%	-1.73%	5.150	-0.96%
	2016/11/25	01629	盟科控股	印刷及包裝	0.700	419.0	75	30.1%	+8.57%	1.520	+117.14%
	2016/11/24	01608	偉能集團	供電供熱	2.880	認購不足	1	100.0%	-1.74%	4.800	+66.67%
	2016/11/21	01611	桐成控股	工業用品	1.500	31.0	15	11.1%	+4.67%	1.140	-24.00%
	2016/11/15	01272	大唐環境	環保	3.780	認購不足	1	100.0%	0.00%	3.440	-8.99%
	2016/11/11	06163	彭順國際	汽車及零部件	1.280	26.2	1	100.0%	+7.03%	1.760	+37.50%
	2016/11/11	08052	陸慶娛樂	休閒娛樂	0.210	N/A	N/A	N/A	+1,900.00%	0.133	-36.67%
	2016/11/11	01458	周黑鴨	包裝食品	5.880	認購不足	1	100.0%	+13.44%	7.900	+34.35%
	2016/11/11	01633	上諭集團	建築及裝修	0.800	15.7	1	100.0%	+58.75%	0.430	-46.25%
	2016/11/08	03689	康華醫療	醫療器械及服務	11.600	認購不足	1	100.0%	-8.62%	10.800	-6.90%
	2016/11/08	08283	正力控股	汽車零售及維護維修	0.400	N/A	N/A	N/A	+1,090.00%	10.400	+2500.00%
	2016/11/08	01572	中國藝術金融	其他金融	0.750	0.8	1	100.0%	+6.67%	0.940	+25.33%
	2016/11/08	03686	祈福生活服務	物業管理及代理	0.460	152.2	30	25.1%	+34.78%	0.630	+36.96%
	2016/11/01	01610	中糧肉食	農畜漁產品	2.000	認購不足	1	100.0%	-17.00%	1.640	-18.00%
	2016/10/31	03306	江南布衣	服裝	6.400	0.3	1	100.0%	+7.34%	6.400	0.00%
	2016/10/28	08321	泰錦控股	建築及裝修	0.350	N/A	N/A	N/A	+700.00%	3.680	+951.43%
	2016/10/28	03320	華潤醫藥	藥品	9.100	0.9	1	100.0%	-1.10%	9.940	+9.23%
	2016/10/26	01539	匯能集團	環保	N/A	N/A	N/A	N/A	-8.26%	1.400	-35.78%
	2016/10/20	08407	興證國際	證券	1.330	1.7	1	100.0%	+0.75%	1.110	-16.54%
	2016/10/17	08149	浩德控股	證券	0.425	N/A	N/A	N/A	+1,170.59%	0.320	-24.71%
	2016/10/17	08320	沛然環保	其他支援服務	0.280	N/A	N/A	N/A	+382.14%	0.198	-29.29%
	2016/10/17	01609	創建集團控股	建築及裝修	0.700	171.1	35	35.0%	-8.57%	0.520	-25.71%
	2016/10/17	02113	東盈控股	建築及裝修	0.700	67.4	20	40.0%	+14.29%	0.580	-17.14%
	2016/10/14	01547	IBI GROUP HLDGS	建築及裝修	0.450	1815.1	400	10.0%	-3.33%	0.350	-22.22%
	2016/10/13	08240	展程控股	農畜漁產品	0.225	N/A	N/A	N/A	+1,500.00%	0.198	-12.00%
	2016/10/13	08023	鄺文記	建築及裝修	0.430	14.8	1	100.0%	+16.28%	0.480	+11.63%
	2016/10/12	01460	揚科集團	系統開發及信息科技顧問	N/A	N/A	N/A	N/A	-10.59%	0.219	-14.12%
	2016/10/07	08035	駿高控股	倉儲物流	0.410	N/A	N/A	N/A	+851.22%	0.270	-34.15%
