date	code	name	category	ipo_price	buy_ratio	one_hand	draw_prob	firstday_performance	now_price	total_performance
	2015/12/01	01561	萬輝化工	化工產品	1.000	66.5	1	100.0%	+3.00%	1.720	+72.00%
	2015/11/27	00722	聯合醫務	醫療器械及服務	2.060	15.1	1	100.0%	-6.31%	2.320	+12.62%
	2015/11/26	06865	福萊特玻璃	工業用品	2.100	認購不足	1	100.0%	-7.62%	1.530	-27.14%
	2015/11/25	01538	中奧到家	物業管理及代理	1.880	10.4	1	100.0%	-0.53%	0.820	-56.38%
	2015/11/20	03799	達利食品	包裝食品	5.250	0.3	1	100.0%	-4.76%	4.580	-12.76%
	2015/11/20	02120	康寧醫院	醫療器械及服務	38.700	124.3	1	100.0%	+26.87%	34.900	-9.82%
	2015/11/20	00932	御藥堂	保健品	N/A	N/A	N/A	N/A	-8.00%	7.040	+252.00%
	2015/11/18	08368	中國創意控股	影視娛樂	0.390	N/A	N/A	N/A	+925.64%	0.211	-45.90%
	2015/11/12	01452	迪諾斯環保	化工產品	2.100	0.2	1	100.0%	-19.05%	0.485	-76.90%
	2015/11/11	08182	中國糖果	包裝食品	0.200	N/A	N/A	N/A	+1,525.00%	0.154	-23.00%
	2015/11/11	01556	建業建榮	基建	0.590	168.0	30	60.0%	+3.39%	0.360	-38.98%
	2015/11/09	03908	中金公司	證券	10.280	3.7	1	100.0%	+7.39%	12.440	+21.01%
	2015/11/06	01495	集一家居	建築及裝修	1.280	15.0	1	100.0%	+17.97%	0.880	-31.25%
	2015/11/02	08366	FRASER HLDGS	基建	0.200	N/A	N/A	N/A	+1,650.00%	0.520	+160.00%
	2015/10/30	02799	中國華融	投資及資產管理	3.090	2.2	1	100.0%	+0.32%	3.030	-1.94%
	2015/10/30	01389	美捷匯控股	煙酒	N/A	N/A	N/A	N/A	+19.60%	0.130	-91.22%
	2015/10/26	01508	中國再保險	保險	2.700	93.0	1	100.0%	0.00%	1.860	-31.11%
	2015/10/23	02669	中海物業	物業管理及代理	N/A	N/A	N/A	N/A	+12.77%	1.510	+60.64%
	2015/10/16	01532	中國派對文化	服裝	1.000	161.8	1	100.0%	-7.00%	0.580	-42.00%
	2015/10/15	01533	莊園牧場	乳製品	5.300	2.3	2	80.1%	+2.83%	5.340	+0.75%
	2015/10/15	01476	恆投證券	證券	3.920	認購不足	1	100.0%	+6.38%	2.810	-28.32%
	2015/10/12	01527	天潔環境	環保	10.900	0.0	1	100.0%	-5.51%	6.900	-36.70%
	2015/10/09	08327	泰邦集團	半導體	0.300	N/A	N/A	N/A	+166.67%	0.800	+166.67%
	2015/10/09	08122	德萊建業	建築及裝修	0.325	N/A	N/A	N/A	+1,161.54%	0.465	+43.08%
	2015/10/08	08141	應力控股	建築及裝修	0.300	N/A	N/A	N/A	+1,500.00%	0.540	+80.00%
	2015/10/08	08290	亞勢備份	軟件開發	0.200	N/A	N/A	N/A	+2,100.00%	0.098	-51.00%
	2015/10/08	08057	麥迪森酒業	煙酒	0.750	N/A	N/A	N/A	+726.67%	1.970	+162.67%
	2015/10/08	01970	IMAX CHINA	影視娛樂	31.000	認購不足	1	100.0%	+10.48%	20.550	-33.71%
	2015/10/08	02199	維珍妮	紡織及制衣	5.600	0.1	1	100.0%	+16.07%	6.850	+22.32%
	2015/10/07	08127	雲裳衣	服裝	0.150	N/A	N/A	N/A	+966.67%	0.470	+213.33%
	2015/09/30	08248	豐展控股	建築及裝修	0.250	N/A	N/A	N/A	+360.00%	N/A	N/A
	2015/09/30	08245	安悅國際控股	電子消費品	0.570	N/A	N/A	N/A	+1,145.61%	0.200	-64.91%
	2015/09/29	02086	龍傑智能卡一千	資訊科技器材	N/A	N/A	N/A	N/A	-5.93%	3.990	+238.14%
	2015/09/25	08369	立基工程控股	建築及裝修	0.250	N/A	N/A	N/A	+1,900.00%	0.234	-6.40%
	2015/09/25	08177	REF Holdings	印刷及包裝	0.750	N/A	N/A	N/A	+193.33%	N/A	N/A
	2015/09/10	00974	中國順客隆	超市/百貨/商城	2.880	認購不足	1	100.0%	+5.21%	4.020	+39.58%
	2015/09/08	01683	皇中國際	建築及裝修	1.000	6.5	2	60.0%	+20.00%	1.260	+26.00%
	2015/09/08	00863	品牌中國	廣告	N/A	N/A	N/A	N/A	+8.00%	2.000	-38.46%
	2015/09/02	01499	前進控股集團	建築及裝修	0.250	19.9	1	100.0%	+22.00%	0.167	-33.20%
	2015/08/31	01483	譽宴集團	餐飲	N/A	N/A	N/A	N/A	-6.17%	2.250	+177.78%
	2015/08/11	01718	宏基集團控股	建築及裝修	0.850	167.0	1	100.0%	+22.35%	0.690	-18.82%
	2015/08/10	08316	柏榮集團控股	建築及裝修	0.350	N/A	N/A	N/A	+2,242.86%	1.320	+277.14%
	2015/08/07	03969	中國通號	公路及鐵路	6.300	認購不足	1	100.0%	+0.32%	6.300	0.00%
	2015/08/05	03966	中國寶豐國際	家具及家居用品	N/A	N/A	N/A	N/A	0.00%	3.900	+227.73%
	2015/08/03	01486	思城控股	建築及裝修	N/A	N/A	N/A	N/A	-0.67%	2.500	-16.67%
	2015/07/15	06896	金嗓子	藥品	4.600	0.4	1	100.0%	+5.87%	7.690	+67.17%
	2015/07/13	03737	中智藥業	藥品	2.460	2.4	1	100.0%	-2.85%	2.090	-15.04%
	2015/07/10	08027	吉輝控股	其他支援服務	0.500	N/A	N/A	N/A	+170.00%	N/A	N/A
	2015/07/08	08361	中國育兒網絡	電子商貿及互聯網服務	1.390	N/A	N/A	N/A	-15.11%	2.430	+74.82%
	2015/07/08	02666	環球醫療	其他金融	8.180	51.1	1	100.0%	-38.88%	6.060	-25.92%
	2015/07/08	01498	培力控股	藥品	5.980	37.8	1	100.0%	-35.95%	3.400	-43.14%
	2015/07/07	01509	和美醫療	醫療器械及服務	7.550	7.7	3	80.0%	-9.80%	4.570	-39.47%
	2015/07/07	06836	天韻國際控股	包裝食品	1.280	2.6	2	80.1%	0.00%	0.860	-32.81%
	2015/07/07	00799	IGG	電子商貿及互聯網服務	N/A	N/A	N/A	N/A	-9.76%	4.250	+3.66%
	2015/07/07	01461	魯証期貨	其他金融	3.320	3.0	1	100.0%	-24.70%	1.650	-50.30%
	2015/07/06	06878	鼎豐集團控股	其他金融	N/A	N/A	N/A	N/A	-15.61%	0.650	-93.37%
	2015/07/06	02699	新明中國	地產發展	1.430	認購不足	1	100.0%	-5.59%	0.910	-36.36%
	2015/07/06	01456	國聯證券	證券	8.000	0.9	1	100.0%	-31.13%	4.100	-48.75%
	2015/07/03	02286	辰興發展	地產發展	3.000	3.3	1	100.0%	0.00%	1.800	-40.00%
	2015/07/03	03839	正大企業國際	化工產品	N/A	N/A	N/A	N/A	-28.63%	2.030	-74.63%
	2015/07/03	01986	彩客化學	化工產品	4.010	0.8	1	100.0%	+1.25%	5.330	+32.92%
	2015/07/03	02193	萬景控股	基建	0.800	1835.9	750	12.5%	+37.50%	1.140	+42.50%
	2015/07/02	03882	天彩控股	電子消費品	3.380	85.0	3	50.0%	-2.66%	0.980	-71.01%
	2015/06/29	03396	聯想控股	綜合企業	42.980	44.2	1	100.0%	-0.07%	18.820	-56.21%
	2015/06/26	06133	維太移動	電子消費品	2.480	17.2	1	100.0%	+2.02%	1.080	-56.45%
	2015/06/26	01528	紅星美凱龍	家具及家居用品	13.280	4.6	1	100.0%	-4.07%	7.100	-46.54%
	2015/06/23	02686	亞美能源	石油及天然氣	3.000	4.3	1	100.0%	-7.33%	1.220	-59.33%
	2015/06/19	00574	百信藥業	藥品	1.220	238.7	1	100.0%	+16.39%	0.500	-59.02%
	2015/06/18	06183	中國綠寶	農畜漁產品	4.710	12.5	1	100.0%	-9.77%	3.980	-15.50%
	2015/06/16	06108	新銳醫藥	藥品	N/A	N/A	N/A	N/A	+0.01%	0.365	-53.80%
	2015/06/12	08097	鼎石資本	證券	0.500	N/A	N/A	N/A	+1,556.00%	0.199	-60.20%
	2015/06/11	01530	三生製藥	生物科技	9.100	200.6	1	100.0%	+2.75%	7.760	-14.73%
	2015/06/05	08038	金力集團	工業用品	1.350	N/A	N/A	N/A	+447.41%	1.000	-25.93%
	2015/06/03	01113	長實地產	地產投資	N/A	N/A	N/A	N/A	+5.86%	54.350	-22.36%
	2015/06/01	06886	HTSC	證券	24.800	278.0	2	80.0%	+4.84%	16.400	-33.87%
	2015/06/01	01520	時尚環球	服裝	N/A	N/A	N/A	N/A	-7.65%	0.510	-70.00%
	2015/05/29	08121	超凡網絡	電子商貿及互聯網服務	0.250	N/A	N/A	N/A	+300.00%	0.168	-32.80%
	2015/05/27	08355	超智能控股	系統開發及信息科技顧問	0.360	N/A	N/A	N/A	+1,397.22%	0.204	-43.33%
	2015/05/27	06839	雲南水務	水務供應	5.800	353.0	60	2.0%	+25.00%	4.440	-23.45%
	2015/05/27	01301	德基科技控股	機械裝備及器材	2.280	161.0	25	25.0%	+14.91%	0.880	-61.40%
	2015/05/12	01470	滴達國際	鐘錶珠寶	0.680	838.1	75	20.0%	+42.65%	0.470	-30.88%
	2015/04/30	08133	鑄能控股	工業用品	0.200	N/A	N/A	N/A	+965.00%	0.455	+127.50%
	2015/04/30	06826	昊海生物科技	生物科技	59.000	178.4	1	100.0%	-1.02%	36.550	-38.05%
	2015/04/16	01500	現恆建築	建築及裝修	0.660	446.9	20	80.0%	+80.30%	0.760	+15.15%
	2015/04/10	01776	廣發証券	證券	18.850	180.3	1	100.0%	+34.75%	16.740	-11.19%
	2015/04/08	01245	NIRAKU	博彩	1.180	2.1	1	100.0%	+0.85%	0.750	-36.44%
	2015/03/31	03606	福耀玻璃	汽車及零部件	16.800	44.1	1	100.0%	+13.10%	20.450	+21.73%
	2015/03/31	01415	高偉電子	電子消費品	4.250	4.2	1	100.0%	-9.88%	2.780	-34.59%
	2015/03/27	08305	均安控股	基建	0.300	N/A	N/A	N/A	+833.33%	N/A	N/A
	2015/03/24	08105	匯能集團	環保	0.500	N/A	N/A	N/A	+208.00%	1.450	+190.00%
	2015/03/20	01468	英裘控股	服飾配件及皮革	N/A	N/A	N/A	N/A	-7.58%	0.244	-26.06%
	2015/03/18	08140	揚科集團	系統開發及信息科技顧問	0.380	N/A	N/A	N/A	+636.84%	0.142	-62.63%
	2015/03/18	00001	長和	綜合企業	N/A	N/A	N/A	N/A	-0.26%	99.550	-34.46%
	2015/03/12	01566	華夏動漫	影視娛樂	3.650	3.3	1	100.0%	+1.92%	4.010	+9.86%
	2015/03/12	01310	香港寬頻	電訊服務	9.000	認購不足	1	100.0%	0.00%	8.820	-2.00%
	2015/03/11	01858	春立醫療	醫療器械及服務	13.880	372.6	20	30.2%	+3.03%	12.420	-10.52%
	2015/03/11	01430	蘇創燃氣	燃氣供應	2.080	4.7	1	100.0%	+0.48%	2.180	+4.81%
	2015/03/11	00442	KTL INT'L	鐘錶珠寶	3.000	39.8	1	100.0%	+60.67%	3.800	+26.67%
	2015/02/23	08277	駿東控股	建築材料	1.200	N/A	N/A	N/A	+373.33%	1.320	+10.00%
	2015/02/16	08238	惠陶集團	廣告	0.370	N/A	N/A	N/A	+972.97%	0.030	-91.89%
	2015/02/13	01027	中國集成控股	家具及家居用品	1.100	0.7	1	100.0%	+56.36%	0.255	-76.82%
	2015/02/12	08093	愛特麗皮革	服裝	0.550	N/A	N/A	N/A	+496.36%	0.610	+10.91%
	2015/01/30	01327	時間由你	鐘錶珠寶	1.100	1.0	1	100.0%	-39.09%	0.088	-92.00%
	2015/01/16	08139	長安仁恆	化工產品	9.700	N/A	N/A	N/A	+8.25%	4.020	-58.56%
	2015/01/16	08067	東方大學城控股	地產投資	2.640	N/A	N/A	N/A	+5.68%	2.160	-18.18%
	2015/01/16	06822	科勁國際	家具及家居用品	1.380	5.1	1	100.0%	-24.64%	1.200	-13.04%
	2015/01/15	06161	泰加保險	保險	1.610	10.8	1	100.0%	+33.54%	2.050	+27.33%
	2015/01/15	01993	雅仕維	廣告	6.000	0.3	1	100.0%	-3.50%	2.700	-55.00%
	2015/01/15	01362	新龍移動	電子消費品	0.820	170.5	9	50.0%	+12.20%	1.560	+90.24%
	2015/01/14	03708	日成控股	建築及裝修	0.600	26.6	1	100.0%	+11.67%	0.640	+6.67%
	2015/01/13	06866	佐力小貸	其他金融	1.300	0.3	1	100.0%	+42.31%	1.200	-7.69%
	2015/01/09	02212	高鵬礦業	其他礦物	0.880	23.2	1	100.0%	+1.14%	0.224	-74.55%
	2015/01/09	01326	天馬影視	影視娛樂	N/A	N/A	N/A	N/A	-3.57%	0.320	-80.95%
	2015/01/08	08268	迪臣建設	建築及裝修	0.385	N/A	N/A	N/A	+32.47%	0.216	-43.90%
	2015/01/05	01673	華章科技	機械裝備及器材	N/A	N/A	N/A	N/A	-1.11%	4.650	+3.33%
	2014/12/30	08267	藍港互動	電子商貿及互聯網服務	9.800	認購不足	1	100.0%	0.00%	4.410	-55.00%
	2014/12/30	01035	ＢＢＩ生命科學	生物科技	1.750	48.3	2	60.1%	0.00%	1.740	-0.57%
	2014/12/29	02277	震昇工程	建築及裝修	0.600	26.9	1	100.0%	+5.00%	1.560	+160.00%
	2014/12/29	02066	盛京銀行	銀行	7.560	1.2	1	100.0%	+0.27%	8.610	+13.89%
	2014/12/29	01381	粵豐環保	供電供熱	2.330	11.6	2	70.1%	+0.43%	3.610	+54.94%
	2014/12/23	03699	萬達商業	地產發展	48.000	4.3	1	100.0%	-2.60%	52.650	+9.69%
	2014/12/19	01958	北京汽車	汽車及零部件	8.900	1.1	1	100.0%	-0.56%	7.640	-14.16%
	2014/12/18	08307	密迪斯肌	醫療器械及服務	0.600	N/A	N/A	N/A	+420.00%	0.720	+20.00%
	2014/12/17	01438	富貴生命	殯儀	3.000	50.7	1	100.0%	-30.00%	2.870	-4.33%
	2014/12/17	00520	呷哺呷哺	餐飲	4.700	3.1	1	100.0%	-3.40%	4.100	-12.77%
	2014/12/12	01669	環球信貸集團	其他金融	1.350	14.4	1	100.0%	+25.19%	1.420	+5.19%
	2014/12/10	06869	長飛光纖光纜	電訊及網絡器材	7.390	3.2	1	100.0%	-9.20%	11.000	+48.85%
	2014/12/10	01816	中廣核電力	供電供熱	2.780	286.3	1	100.0%	+19.07%	2.260	-18.71%
	2014/12/08	01480	恩達集團控股	工業用品	1.230	33.7	1	100.0%	+10.57%	2.270	+84.55%
	2014/12/05	08170	KSL HOLDINGS	建築及裝修	0.600	N/A	N/A	N/A	+610.00%	2.730	+355.00%
	2014/12/05	01022	飛魚科技	電子商貿及互聯網服務	2.200	4.0	1	100.0%	+0.46%	1.430	-35.00%
	2014/12/02	01478	丘鈦科技	資訊科技器材	2.790	2.1	1	100.0%	-6.09%	2.820	+1.08%
	2014/11/28	06882	東瀛遊	旅遊及觀光	1.390	103.0	30	5.1%	-2.16%	1.490	+7.19%
	2014/11/28	01317	楓葉教育	其他支援服務	2.880	193.9	15	50.1%	+0.35%	5.730	+98.96%
	2014/11/18	01305	偉志控股	資訊科技器材	3.680	1222.0	200	15.0%	-11.96%	1.850	-49.73%
	2014/11/13	01443	富臨集團控股	餐飲	1.550	42.5	25	50.1%	-15.48%	1.150	-25.81%
	2014/11/11	01289	盛力達科技	機械裝備及器材	7.720	24.7	1	100.0%	+46.89%	3.040	-60.62%
	2014/11/07	06118	奧星生命科技	機械裝備及器材	3.120	2.6	200	10.0%	+14.42%	1.250	-59.94%
	2014/10/17	01466	民生珠寶	鐘錶珠寶	N/A	N/A	N/A	N/A	-29.09%	1.420	+29.09%
	2014/10/16	06893	衍生集團	美容及個人護理	1.180	859.0	200	30.0%	+16.10%	2.090	+77.12%
	2014/10/16	03822	三和建築集團	建築及裝修	1.500	661.0	150	10.0%	+8.00%	0.440	-70.67%
	2014/10/16	01462	金誠控股	建築及裝修	1.100	216.0	125	50.0%	-9.09%	7.540	+585.45%
	2014/10/15	01347	華虹半導體	半導體	11.250	11.9	20	30.1%	-4.53%	8.320	-26.04%
	2014/10/14	08363	SDM GROUP	其他支援服務	1.500	N/A	N/A	N/A	+199.33%	1.310	-12.67%
	2014/10/10	08195	L&A INTL HOLD	服裝	0.600	N/A	N/A	N/A	+591.67%	0.049	-91.83%
	2014/10/10	02280	慧聰網	電子商貿及互聯網服務	N/A	N/A	N/A	N/A	-6.39%	6.120	-57.50%
	2014/10/09	06116	拉夏貝爾	服裝	13.980	認購不足	1	100.0%	+0.14%	9.020	-35.48%
	2014/10/03	01811	中廣核新能源	供電供熱	1.710	556.3	25	50.0%	+14.62%	1.260	-26.32%
	2014/09/29	08222	壹照明	家用電器	0.500	N/A	N/A	N/A	+720.00%	0.260	-48.00%
	2014/09/26	01395	強泰環保	水務供應	0.550	556.0	20	30.0%	+70.91%	0.400	-27.27%
	2014/09/25	01285	嘉士利集團	包裝食品	3.700	27.5	1	100.0%	+5.14%	3.370	-8.92%
	2014/09/19	02221	創業集團控股	建築及裝修	0.860	395.7	1	100.0%	+34.88%	2.630	+205.81%
	2014/09/19	00699	神州租車	公用運輸	8.500	201.1	10	50.0%	+28.94%	7.320	-13.88%
	2019/07/18	02558	晋商银行	银行	3.820	认购不足	1	100.0%	0.00%	3.820	0.00%
	2019/07/17	01915	泰和小贷	其他金融	N/A	N/A	N/A	N/A	-5.37%	2.600	-12.75%
	2019/07/16	01949	PLATT NERA	系统开发及信息科技顾问	1.250	12.7	45	14.0%	+24.00%	1.280	+2.40%
	2019/07/16	02772	中梁控股	地产发展	5.550	0.0	1	100.0%	+7.21%	5.850	+5.41%
	2019/07/16	06805	金茂源环保	环保	1.330	1.0	2	90.0%	-2.26%	1.140	-14.29%
	2019/07/16	00382	中汇集团	其他支援服务	2.850	1.4	1	100.0%	+0.70%	2.970	+4.21%
	2019/07/16	01134	恒发光学	服饰配件及皮革	1.000	28.7	50	15.0%	+6.00%	1.060	+6.00%
	2019/07/16	01912	康特隆	半导体	0.650	38.9	18	25.0%	+6.15%	0.630	-3.08%
	2019/07/12	06093	和泓服务	物业管理及代理	1.280	4.3	9	20.0%	+34.38%	1.330	+3.91%
	2019/07/12	08612	维亮控股	机械装备及器材	0.550	27.2	45	35.0%	+41.82%	0.780	+41.82%
	2019/07/12	01931	华检医疗	医疗器械及服务	3.070	1.2	3	50.0%	0.00%	3.040	-0.98%
	2019/07/12	01977	安乐工程	建筑及装修	1.200	6.6	1	100.0%	+35.83%	1.210	+0.83%
	2019/07/11	01839	中集车辆	商用交通工具	6.380	1.7	1	100.0%	-3.76%	6.020	-5.64%
	2019/07/10	02180	万宝盛华	其他支援服务	9.900	3.7	2	85.0%	-1.01%	12.120	+22.42%
	2019/07/05	00924	坤集团	建筑及装修	0.500	12.4	25	6.8%	+132.00%	0.700	+40.00%
	2019/07/04	03798	家乡互动	电子商贸及互联网服务	1.350	1.8	6	60.0%	+26.67%	1.690	+25.19%
	2019/06/28	01901	飞扬集团	旅游及观光	1.050	18.1	6	50.0%	-6.67%	0.890	-15.24%
	2019/06/28	01930	勋龙	汽车及零部件	0.880	5.0	20	40.0%	+34.09%	1.150	+30.68%
	2019/06/28	01943	银涛控股	建筑及装修	0.500	2.2	1	100.0%	-7.00%	0.475	-5.00%
	2019/06/28	01286	鹰普精密	工业用品	3.000	1.7	1	100.0%	+0.33%	3.340	+11.33%
	2019/06/28	01701	途屹控股	旅游及观光	0.520	5.2	4	60.0%	-41.35%	0.241	-53.65%
	2019/06/28	01842	植华集团	服饰配件及皮革	0.500	7.3	50	35.0%	+14.00%	0.460	-8.00%
	2019/06/27	01909	火岩控股	电子商贸及互联网服务	N/A	N/A	N/A	N/A	0.00%	5.280	-14.84%
	2019/06/26	01849	创世纪集团控股	电子商贸及互联网服务	0.650	8.0	8	25.0%	-24.62%	0.325	-50.00%
	2019/06/25	01951	锦欣生殖	医疗器械及服务	8.540	98.3	7	65.0%	+8.67%	9.020	+5.62%
	2019/06/21	01861	保宝龙科技	汽车零售及维护维修	N/A	N/A	N/A	N/A	-33.64%	1.740	-60.45%
	2019/06/21	01769	思考乐教育	其他支援服务	3.680	0.6	1	100.0%	+0.27%	3.900	+5.98%
	2019/06/19	06117	日照港裕廊	航运及港务	1.500	认购不足	1	100.0%	+166.67%	1.370	-8.67%
	2019/06/18	01935	嘉宏教育	其他支援服务	1.500	认购不足	1	100.0%	+10.00%	1.910	+27.33%
	2019/06/17	03877	中国船舶租赁	其他金融	1.340	认购不足	1	100.0%	-7.46%	1.070	-20.15%
	2019/06/14	03692	翰森制药	药品	14.260	10.8	4	60.0%	+36.75%	21.800	+52.88%
	2019/06/13	06811	太兴集团	餐饮	3.000	14.5	3	80.0%	-12.00%	2.170	-27.67%
	2019/06/13	02189	嘉涛（香港）控股	其他支援服务	0.600	79.4	20	20.0%	-6.67%	0.480	-20.00%
	2019/06/12	06055	中烟香港	烟酒	4.880	101.0	5	60.0%	+9.63%	22.800	+367.21%
	2019/06/12	00667	中国东方教育	其他支援服务	11.250	认购不足	1	100.0%	-11.82%	13.200	+17.33%
	2019/06/03	01905	海通恒信	其他金融	1.880	认购不足	1	100.0%	0.00%	1.700	-9.57%
	2019/05/31	02181	迈博药业－B	生物科技	1.500	0.5	1	100.0%	-19.33%	1.220	-18.67%
	2019/05/30	01521	方达控股	药品	3.200	90.7	15	50.0%	+4.69%	3.410	+6.56%
	2019/05/28	03868	信义能源	替代能源	1.940	0.1	1	100.0%	0.00%	2.210	+13.92%
	2019/05/28	02060	浦江国际	建筑材料	2.680	认购不足	1	100.0%	+1.12%	3.700	+38.06%
	2019/05/27	01817	慕尚集团控股	服装	4.390	认购不足	1	100.0%	+2.51%	4.430	+0.91%
	2019/05/21	02230	羚邦集团	出版传媒	0.450	14.8	5	60.0%	-31.11%	0.275	-38.89%
	2019/05/16	02346	星宇控股	工业用品	1.000	10.4	10	50.0%	+11.00%	1.570	+57.00%
	2019/05/16	01832	海天地悦旅	旅游及观光	3.540	0.2	1	100.0%	-2.26%	2.960	-16.38%
	2019/05/10	01903	JBB BUILDERS	基建	1.180	0.2	1	100.0%	+4.24%	1.180	0.00%
	2019/05/09	01873	维亚生物	生物科技	4.410	105.9	1	100.0%	+0.23%	4.190	-4.99%
	2019/05/09	01867	乐嘉思控股	建筑及装修	N/A	N/A	N/A	N/A	-0.26%	0.199	-21.96%
	2019/05/08	01857	中国光大水务	水务供应	2.990	1.4	1	100.0%	-11.37%	2.000	-33.11%
	2019/05/07	01753	兑吧	电子商贸及互联网服务	6.000	6.7	1	100.0%	+0.17%	4.600	-23.33%
	2019/05/02	08635	连成科技集团	系统开发及信息科技顾问	0.530	100.3	125	15.0%	+37.74%	0.241	-54.53%
	2019/04/30	01780	B & D STRATEGIC	建筑及装修	0.840	10.3	7	30.0%	+5.95%	0.620	-26.19%
	2019/04/26	06806	申万宏源	证券	3.630	2.8	1	100.0%	-11.85%	2.630	-27.55%
	2019/04/26	01906	博尼控股	服装	0.580	94.9	40	50.0%	0.00%	0.600	+3.45%
	2019/04/25	01545	设计都会	家具及家居用品	0.300	54.9	90	50.0%	-10.00%	0.144	-52.00%
	2019/04/23	03321	伟鸿集团控股	建筑及装修	1.400	6.9	8	16.0%	-0.71%	1.080	-22.86%
	2019/04/16	02660	禅游科技	电子商贸及互联网服务	1.230	46.5	30	50.0%	+30.89%	0.940	-23.58%
	2019/04/03	02718	东正金融	其他金融	3.060	认购不足	1	100.0%	-9.48%	2.410	-21.24%
	2019/03/28	06185	康希诺生物－B	生物科技	22.000	89.8	1	100.0%	+57.73%	37.150	+68.86%
	2019/03/28	01797	新东方在线	其他支援服务	10.200	8.2	1	100.0%	0.00%	10.720	+5.10%
	2019/03/27	08537	DOMINATE GP	钟表珠宝	0.300	102.7	90	14.0%	+35.00%	0.220	-26.67%
	2019/03/27	06819	中智全球	其他支援服务	5.350	认购不足	1	100.0%	-2.62%	6.900	+28.97%
	2019/03/27	01865	管道工程	基建	0.550	26.0	20	50.0%	+20.00%	0.890	+61.82%
	2019/03/21	01854	展程控股	农畜渔产品	N/A	N/A	N/A	N/A	-12.50%	0.265	-17.19%
	2019/03/19	01897	美亨实业	建筑及装修	N/A	N/A	N/A	N/A	0.00%	0.710	-14.46%
	2019/03/18	03662	奥园健康	物业管理及代理	3.660	5.2	1	100.0%	+21.59%	4.830	+31.97%
	2019/03/18	02682	润利海事	航运及港务	0.500	认购不足	1	100.0%	-44.00%	0.193	-61.40%
	2019/03/15	03316	滨江服务	物业管理及代理	6.960	6.1	1	100.0%	+5.17%	7.700	+10.63%
	2019/03/15	08096	赏之味	餐饮	0.700	145.2	80	50.0%	-32.14%	0.212	-69.71%
	2019/03/15	01907	中国旭阳集团	化工产品	2.800	0.2	1	100.0%	0.00%	2.670	-4.64%
	2019/03/15	01563	友联租赁	其他金融	0.850	0.1	1	100.0%	-2.35%	0.910	+7.06%
	2019/03/15	01891	兴合控股	有色金属	0.500	205.6	15	50.0%	-26.00%	0.213	-57.40%
	2019/03/14	01917	豆盟科技	广告	0.410	440.7	45	20.0%	+53.66%	0.465	+13.41%
	2019/03/11	01158	开元酒店	酒店及度假村	16.500	0.5	1	100.0%	+2.30%	16.020	-2.91%
	2019/03/08	00150	HYPEBEAST	广告	N/A	N/A	N/A	N/A	-8.24%	1.180	+38.82%
	2019/03/06	02108	K2 F&B	餐饮	0.750	15.4	15	45.0%	-10.67%	0.202	-73.07%
	2019/03/06	01902	银城国际控股	地产发展	2.380	认购不足	1	100.0%	0.00%	2.390	+0.42%
	2019/02/28	01872	冠□控股	汽车零售及维护维修	0.430	71.5	14	50.0%	+46.51%	1.810	+320.93%
	2019/02/28	01025	嘉艺控股	服装	0.980	18.3	125	48.6%	+8.16%	0.770	-21.43%
	2019/02/27	01793	伟工控股	建筑及装修	0.625	15.2	8	15.0%	+4.00%	0.285	-54.40%
	2019/02/26	08607	纳尼亚集团	纺织及制衣	0.400	9.3	14	15.0%	+10.00%	0.430	+7.50%
	2019/02/26	02616	基石药业－B	生物科技	12.000	6.2	1	100.0%	+7.17%	12.620	+5.17%
	2019/02/26	02019	德信中国	地产发展	2.800	认购不足	1	100.0%	0.00%	3.350	+19.64%
	2019/02/19	08036	电子交易集团	系统开发及信息科技顾问	0.280	120.0	30	30.0%	0.00%	0.141	-49.64%
	2019/02/18	01827	卓珈控股	美容及个人护理	N/A	N/A	N/A	N/A	-5.26%	1.400	-33.01%
	2019/02/15	01703	首沣控股	餐饮	0.500	16.7	9	50.2%	+22.00%	0.310	-38.00%
	2019/02/14	01850	海鑫集团	建筑及装修	N/A	N/A	N/A	N/A	+4.00%	0.390	-22.00%
	2019/02/04	01896	猫眼娱乐	影视娱乐	14.800	1.3	1	100.0%	-1.10%	13.680	-7.57%
	2019/01/25	01890	中国科培	其他支援服务	2.480	0.6	1	100.0%	+1.21%	3.750	+51.21%
	2019/01/18	01851	银杏教育	其他支援服务	1.440	1.6	3	50.0%	-6.25%	1.920	+33.33%
	2019/01/15	06162	天瑞汽车内饰	汽车及零部件	0.250	6.2	9	25.0%	-0.80%	0.105	-58.00%
	2019/01/15	02013	微盟集团	广告	2.800	认购不足	1	100.0%	+4.64%	5.250	+87.50%
	2019/01/15	01785	成都高速	公路及铁路	2.200	认购不足	1	100.0%	-0.91%	2.090	-5.00%
	2019/01/14	01767	TS WONDERS	包装食品	0.500	15.9	30	15.0%	+26.00%	0.490	-2.00%
	2019/01/11	02885	彼岸控股	工业用品	1.250	5.1	3	50.1%	-25.60%	0.375	-70.00%
	2019/01/11	02360	优品３６０	超市/百货/商城	1.000	9.9	15	30.0%	+17.00%	2.290	+129.00%
	2019/01/11	01841	优越集团控股	印刷及包装	N/A	N/A	N/A	N/A	+7.14%	0.750	+7.14%
	2019/01/08	08631	申港控股	石油及天然气	0.600	42.4	30	18.0%	-17.50%	0.197	-67.17%
